Fare,SibSp,Name,Name,PassengerId,Gender,Age,Embarked,Parch,Survived
30,0,497,497,198,0,88,1,0,1
187,0,164,164,475,1,88,2,0,0
152,0,435,435,487,1,74,0,0,0
102,1,473,473,46,1,88,1,0,0
54,0,779,779,285,1,44,0,0,0
216,0,808,808,256,0,88,0,0,1
18,0,492,492,227,1,26,2,0,0
146,1,853,853,58,0,9,2,2,1
133,0,475,475,811,1,52,2,0,0
43,0,663,663,429,1,42,2,0,1
85,0,548,548,886,1,35,2,0,0
101,0,99,99,140,0,88,0,2,0
72,0,338,338,219,1,39,2,0,0
213,0,490,490,627,0,27,2,0,1
115,0,346,346,731,1,15,0,0,0
0,0,409,409,597,1,64,2,0,0
24,0,724,724,106,0,27,2,0,1
117,0,530,530,272,0,55,2,1,1
205,6,718,718,863,0,88,2,2,0
72,0,496,496,772,0,73,2,0,0
208,2,362,362,120,1,27,2,0,0
81,0,550,550,823,0,35,2,1,1
30,0,516,516,828,1,88,1,0,1
38,0,605,605,28,0,88,1,0,1
163,0,832,832,170,1,77,2,0,0
151,0,684,684,885,0,52,1,5,0
42,0,523,523,22,0,20,1,0,1
205,6,721,721,201,1,88,2,2,0
18,0,211,211,320,1,28,2,0,0
17,0,62,62,762,1,25,0,0,1
43,0,816,816,603,1,58,2,0,0
18,0,184,184,94,1,75,2,0,0
193,0,87,87,74,1,42,2,0,1
131,1,414,414,783,1,88,2,2,0
30,0,431,431,300,0,88,1,0,1
146,0,257,257,452,1,39,0,0,0
22,0,780,780,649,0,29,2,0,1
194,0,263,263,309,0,39,0,0,1
0,0,678,678,822,1,51,2,0,0
159,4,43,43,233,0,9,2,2,1
217,0,798,798,585,0,23,2,2,1
40,0,732,732,410,1,88,2,0,0
138,1,115,115,728,1,33,2,0,0
134,3,466,466,485,0,88,2,1,0
221,0,348,348,310,0,31,0,0,1
180,0,141,141,83,1,36,2,0,0
207,1,190,190,1,0,51,0,0,1
200,0,620,620,54,1,81,0,1,0
36,0,31,31,91,1,25,2,0,0
216,1,267,267,587,1,76,0,1,1
48,0,309,309,769,1,42,2,0,0
43,0,814,814,814,1,40,2,0,0
30,0,604,604,47,0,88,1,0,1
43,0,697,697,45,1,88,2,0,0
51,0,554,554,5,1,88,1,0,0
65,0,825,825,483,0,79,2,0,1
186,1,436,436,457,0,88,2,0,1
151,4,680,680,171,1,8,1,1,0
8,0,343,343,411,1,88,1,0,0
155,0,661,661,449,1,67,2,0,1
72,0,822,822,717,0,35,2,0,1
118,1,316,316,451,1,88,2,0,0
58,0,836,836,873,1,62,2,0,0
174,0,109,109,766,1,88,0,0,0
5,0,371,371,818,1,57,2,0,0
94,0,64,64,362,0,59,0,1,0
235,0,877,877,325,0,48,0,0,1
165,2,253,253,436,0,27,2,2,0
247,0,476,476,737,1,47,0,0,1
36,0,327,327,623,1,27,2,0,0
41,2,312,312,104,1,50,2,0,0
95,0,880,880,495,1,88,0,0,0
168,0,93,93,339,1,59,2,0,0
232,1,146,146,763,0,48,2,2,1
238,0,741,741,609,0,53,2,0,1
72,0,648,648,238,1,24,2,0,0
237,1,18,18,498,0,33,2,2,0
33,0,796,796,499,1,31,2,0,0
60,0,608,608,350,1,29,2,0,0
132,1,4,4,874,0,36,0,0,1
102,1,568,568,612,0,88,1,0,1
40,0,201,201,794,1,33,2,0,0
64,0,890,890,868,1,88,2,0,0
7,0,352,352,654,0,23,1,0,0
40,0,813,813,29,1,88,2,0,0
54,2,440,440,69,1,34,2,0,0
194,1,229,229,599,1,64,0,0,1
0,0,634,634,277,1,88,2,0,0
143,0,735,735,447,1,45,2,0,1
119,1,701,701,424,1,23,2,1,0
41,0,353,353,2,0,34,2,0,1
30,0,812,812,776,1,88,1,0,0
43,0,764,764,87,1,88,2,0,0
41,0,592,592,400,1,52,2,0,1
138,0,273,273,20,1,47,2,0,0
72,0,689,689,526,0,65,2,0,1
47,0,19,19,834,1,23,2,0,0
12,0,165,165,131,1,25,2,0,0
179,5,298,298,386,1,5,2,2,0
124,3,626,626,24,0,12,2,1,0
239,0,859,859,318,0,41,2,2,1
144,1,390,390,217,1,56,2,0,0
40,0,451,451,878,1,88,2,0,0
30,0,861,861,406,1,66,2,0,0
31,0,559,559,107,1,88,2,0,1
82,0,68,68,150,1,66,2,0,0
175,4,632,632,686,1,18,2,1,0
158,4,22,22,850,1,8,2,2,0
85,0,307,307,714,1,67,2,0,0
40,0,657,657,877,1,24,2,0,0
182,0,39,39,493,1,85,0,0,0
158,4,26,26,541,0,13,2,2,0
106,1,318,318,403,1,36,2,0,0
187,1,372,372,35,1,56,2,0,0
154,1,575,575,122,1,43,0,0,0
29,0,275,275,703,1,33,1,0,0
133,1,830,830,595,1,48,2,1,0
80,0,762,762,322,0,39,1,0,1
40,0,389,389,738,1,88,2,0,0
183,0,700,700,185,1,88,2,0,0
171,0,280,280,462,1,62,2,0,0
101,0,819,819,255,0,38,0,2,1
101,1,97,97,852,0,13,0,1,0
147,1,759,759,360,1,53,2,4,0
221,1,175,175,835,0,52,0,1,1
139,0,341,341,535,0,11,2,2,1
197,1,705,705,513,0,69,0,0,1
73,0,193,193,882,0,28,2,0,0
138,1,246,246,53,0,38,2,0,1
6,1,863,863,371,1,23,2,0,0
123,3,677,677,726,0,39,2,0,1
102,1,567,567,241,0,88,1,0,1
16,0,57,57,661,1,53,0,0,0
170,0,503,503,827,1,5,0,2,1
121,0,293,293,165,1,13,2,2,1
40,0,574,574,739,1,88,2,0,0
172,2,76,76,183,1,5,2,1,1
222,1,339,339,230,0,47,2,0,1
59,0,618,618,138,1,21,2,0,0
117,0,529,529,446,0,17,2,1,1
189,1,151,151,724,1,35,2,0,1
43,0,791,791,220,1,21,2,0,1
85,0,136,136,191,1,24,2,0,0
85,0,881,881,199,0,31,2,0,0
76,1,283,283,861,1,27,2,0,0
40,0,570,570,287,1,28,2,0,0
203,1,643,643,151,0,28,2,0,1
138,1,73,73,543,1,42,2,0,1
181,0,266,266,539,0,28,0,2,1
43,0,15,15,4,1,47,2,0,0
168,0,873,873,55,1,88,2,0,1
63,0,459,459,713,1,38,2,0,0
72,0,61,61,883,1,36,2,0,0
76,2,366,366,529,1,29,2,1,0
58,0,842,842,80,1,28,2,0,0
54,0,129,129,163,1,22,2,0,0
211,1,332,332,645,1,63,0,0,1
185,2,36,36,571,0,68,2,0,1
75,1,589,589,39,0,18,0,0,1
101,1,561,561,709,1,88,0,1,1
133,2,204,204,565,1,31,2,0,0
228,0,461,461,537,0,39,0,0,1
238,0,305,305,268,0,74,2,1,1
192,1,744,744,434,1,65,2,0,0
94,1,875,875,620,1,35,0,0,0
133,0,829,829,419,0,14,2,2,0
135,0,171,171,662,1,62,2,0,0
218,0,785,785,829,0,78,3,0,1
147,3,758,758,642,0,6,2,2,0
157,0,734,734,842,0,39,0,0,1
45,0,655,655,680,0,88,1,0,0
54,0,215,215,349,1,56,2,0,0
138,0,580,580,148,1,49,2,2,0
230,1,803,803,698,1,64,0,1,0
109,1,809,809,639,1,88,2,0,0
72,0,472,472,516,0,45,2,0,1
179,5,301,301,683,1,18,2,2,0
85,0,270,270,357,0,51,2,0,0
25,0,731,731,468,1,88,1,0,0
216,0,310,310,789,1,61,0,0,0
17,0,50,50,780,0,17,0,0,1
16,0,240,240,26,1,88,0,0,0
16,0,879,879,354,1,88,0,0,0
96,0,276,276,760,1,88,2,0,0
40,0,446,446,42,1,88,0,0,0
182,0,514,514,710,0,31,0,0,1
0,0,474,474,179,1,48,2,0,0
156,0,769,769,174,1,72,0,0,0
24,0,546,546,75,1,33,2,0,0
0,0,445,445,732,1,88,2,0,0
242,0,245,245,527,1,88,2,0,0
112,1,38,38,49,0,23,2,0,0
43,0,806,806,758,1,45,2,0,0
85,0,768,768,346,0,53,2,0,1
138,1,578,578,340,1,6,2,1,1
143,0,95,95,11,0,74,2,0,1
138,1,74,74,546,0,24,2,0,1
30,0,220,220,890,1,42,1,0,0
179,1,302,302,678,0,57,2,6,0
36,1,326,326,704,1,34,2,0,0
240,0,694,694,779,0,57,2,1,1
192,1,745,745,577,0,52,2,0,1
169,1,203,203,549,1,12,2,1,1
143,0,196,196,857,1,66,2,0,1
85,0,513,513,418,1,39,2,0,0
147,3,755,755,63,1,8,2,2,0
100,0,738,738,497,1,88,2,0,0
23,0,607,607,502,0,88,1,0,0
54,0,123,123,534,0,39,2,0,0
10,0,351,351,804,1,35,2,0,1
230,0,248,248,306,0,88,0,0,1
41,0,469,469,636,1,42,2,0,0
30,0,432,432,573,0,88,1,0,1
41,0,788,788,744,1,41,2,0,1
107,1,183,183,348,1,7,2,1,1
33,0,29,29,146,1,35,2,0,1
195,1,213,213,690,1,41,2,0,1
133,1,553,553,768,1,88,1,0,0
141,0,743,743,701,1,47,2,0,1
187,1,801,801,712,1,63,2,0,1
132,1,3,3,308,1,39,0,0,0
158,4,23,23,813,0,10,2,2,0
40,0,509,509,847,1,47,0,0,0
143,0,766,766,467,1,72,2,0,0
85,0,368,368,723,1,65,2,0,0
84,0,477,477,292,1,48,0,0,0
71,0,789,789,205,0,6,2,1,0
157,0,125,125,270,1,88,2,0,0
66,1,417,417,113,0,25,2,0,0
138,1,449,449,312,0,34,2,1,0
39,0,10,10,810,1,34,2,0,0
0,0,268,268,481,1,88,2,0,0
30,0,133,133,501,0,27,1,0,0
205,6,720,720,846,1,88,2,2,0
144,2,391,391,600,0,31,2,1,1
40,0,823,823,189,1,48,2,0,0
230,0,804,804,550,1,22,0,2,1
30,0,177,177,289,0,28,1,0,1
138,0,224,224,582,1,69,2,0,0
223,0,704,704,759,0,44,2,0,1
214,1,242,242,496,0,69,0,0,1
243,0,241,241,716,0,51,0,0,1
177,1,456,456,43,0,7,0,2,1
122,1,209,209,93,1,34,2,2,0
138,1,147,147,249,1,69,2,0,0
40,0,665,665,384,1,88,2,0,0
36,0,398,398,771,1,63,2,0,0
41,0,792,792,414,1,58,2,0,1
16,0,463,463,553,1,28,0,0,1
13,0,494,494,631,1,66,2,0,0
31,0,406,406,805,1,41,2,0,0
31,0,609,609,554,0,28,2,0,1
40,0,778,778,76,1,88,2,0,0
198,1,150,150,92,1,61,2,0,0
40,0,671,671,656,1,88,2,0,0
41,1,387,387,729,0,33,2,0,0
167,0,870,870,351,1,88,2,0,0
30,0,597,597,141,0,28,2,0,1
94,1,882,882,111,0,19,0,0,0
138,0,524,524,397,1,61,2,0,0
87,0,153,153,695,1,67,2,0,0
85,0,378,378,288,1,56,2,0,1
72,0,707,707,56,0,27,2,0,1
18,0,673,673,250,1,88,2,0,0
206,1,187,187,745,1,83,2,1,0
231,1,583,583,393,0,29,0,0,1
220,1,536,536,375,0,88,0,0,1
217,1,799,799,262,1,67,2,1,0
6,0,403,403,202,1,45,2,0,0
90,0,622,622,547,1,88,0,0,1
75,1,588,588,125,1,16,0,0,1
71,1,790,790,251,0,38,2,1,0
177,1,457,457,685,1,33,0,2,0
218,0,385,385,61,0,51,3,0,1
40,0,59,59,870,1,34,2,0,0
96,0,322,322,247,0,31,2,2,1
72,0,396,396,70,1,42,2,0,0
43,0,644,644,454,1,88,2,0,0
72,0,815,815,458,0,65,2,0,1
76,0,32,32,144,1,23,2,0,0
43,0,750,750,837,1,88,2,0,0
72,0,564,564,841,1,21,2,0,0
64,0,737,737,81,1,38,2,0,1
85,0,122,122,865,0,56,2,0,1
155,0,547,547,492,1,70,2,0,0
193,0,455,455,509,1,34,2,0,1
193,0,452,452,692,1,88,2,0,1
43,0,149,149,89,1,31,2,0,0
138,1,145,145,854,0,58,2,0,0
85,0,84,84,733,1,29,2,0,0
85,0,320,320,178,1,39,2,0,0
158,4,27,27,542,0,15,2,2,0
72,0,531,531,226,1,24,2,0,1
72,0,479,479,234,1,31,2,0,0
102,1,601,601,186,0,88,1,0,1
0,0,191,191,413,1,88,2,0,0
153,0,347,347,740,1,88,2,0,1
243,0,86,86,380,0,56,0,0,1
134,3,464,464,176,1,88,2,1,0
205,6,719,719,792,0,88,2,2,0
208,2,361,361,665,1,42,2,0,0
102,1,101,101,188,1,53,1,1,0
64,0,886,886,286,1,39,2,0,1
157,0,94,94,209,1,53,0,0,1
94,1,883,883,240,0,88,0,0,0
189,1,511,511,748,1,24,2,0,0
136,0,69,69,168,1,88,2,0,0
19,0,612,612,154,1,88,2,0,0
41,0,354,354,816,0,29,2,0,0
152,0,577,577,273,1,50,0,1,0
96,1,321,321,755,1,1,2,1,1
74,1,408,408,172,0,5,2,1,1
107,1,182,182,489,1,13,2,1,1
145,1,888,888,361,1,38,0,0,0
85,0,105,105,221,1,35,2,0,0
116,2,53,53,644,0,2,0,1,1
201,0,308,308,97,1,29,0,1,1
77,0,468,468,389,0,22,0,0,1
41,0,645,645,115,1,27,2,0,0
128,0,610,610,508,1,36,2,0,0
155,0,199,199,607,1,35,2,0,1
229,1,647,647,307,0,22,0,0,1
226,1,89,89,484,1,33,0,0,1
123,1,676,676,476,1,45,2,0,0
104,1,573,573,622,1,25,0,1,1
14,0,420,420,433,1,22,2,0,0
0,0,846,846,674,1,88,2,0,0
30,0,525,525,126,1,88,1,0,0
16,0,448,448,522,1,88,0,0,0
43,0,729,729,12,1,25,2,0,0
16,0,512,512,19,0,88,0,0,1
0,0,635,635,633,1,88,2,0,0
31,0,88,88,408,1,27,2,0,0
226,1,90,90,291,0,24,0,0,1
24,0,773,773,715,1,24,2,0,0
85,0,80,80,21,1,45,2,0,1
33,0,247,247,688,1,23,2,0,0
246,3,259,259,88,0,29,2,2,1
40,0,675,675,108,1,51,2,0,0
196,0,363,363,329,0,21,0,1,1
43,0,563,563,77,1,88,2,0,0
87,0,434,434,706,0,59,2,0,1
106,1,319,319,142,0,31,2,0,1
30,0,356,356,264,0,88,1,0,0
138,1,669,669,530,0,6,2,1,1
129,1,367,367,774,0,69,2,3,1
120,1,2,2,279,0,47,2,1,1
31,0,795,795,851,1,86,2,0,0
215,0,65,65,290,0,34,2,0,1
1,0,85,85,378,1,25,0,0,0
54,0,189,189,844,1,22,2,0,0
70,0,194,194,687,1,24,2,0,0
109,0,869,869,735,1,37,2,0,0
22,0,329,329,235,0,88,2,0,0
54,0,493,493,821,1,35,2,0,1
85,0,170,170,342,1,36,2,0,0
193,0,453,453,826,1,88,2,0,0
153,0,303,303,887,0,24,2,0,1
16,0,47,47,244,1,39,0,0,0
148,0,637,637,331,1,60,2,0,0
191,1,328,328,370,1,33,0,0,1
43,0,502,502,464,1,88,2,0,0
138,0,736,736,551,1,35,2,0,0
43,0,532,532,152,1,71,2,0,0
160,0,794,794,625,1,77,2,0,0
36,0,590,590,315,0,34,2,0,1
138,0,662,662,427,0,24,2,0,1
43,0,166,166,204,1,23,2,0,1
232,1,143,143,435,0,18,2,2,1
164,0,843,843,515,1,62,2,0,0
18,0,238,238,592,1,62,2,0,0
41,1,484,484,664,1,25,2,0,1
236,1,776,776,31,0,88,0,0,1
217,1,800,800,558,0,52,2,1,1
28,0,438,438,778,1,88,1,0,0
18,0,872,872,425,1,88,2,0,0
109,0,186,186,160,1,58,2,1,0
193,0,252,252,643,1,88,2,0,1
64,0,833,833,752,1,44,2,0,0
81,0,549,549,751,1,10,2,1,1
30,0,178,178,116,1,84,1,0,0
17,0,562,562,367,0,88,0,0,1
36,0,416,416,569,1,42,2,0,1
85,0,664,664,190,0,42,2,0,1
30,0,289,289,32,0,88,1,0,1
188,1,439,439,621,1,56,2,0,1
49,0,611,611,197,1,56,2,1,0
83,0,821,821,399,0,36,2,0,1
54,0,616,616,404,0,25,2,0,0
246,3,258,258,341,0,31,2,2,1
87,0,593,593,562,1,36,2,0,0
24,0,382,382,699,1,56,2,0,0
138,0,739,739,880,0,33,2,1,1
72,0,279,279,619,1,34,2,0,0
26,0,715,715,388,1,88,1,0,0
54,0,638,638,836,1,27,2,0,0
234,1,775,775,319,0,53,0,1,1
121,1,294,294,548,1,44,2,1,0
36,1,444,444,175,1,23,2,1,0
229,1,646,646,505,1,23,0,0,0
81,0,239,239,777,0,9,2,0,1
103,1,483,483,605,1,48,2,0,0
212,0,858,858,102,1,27,2,1,0
234,0,117,117,337,0,55,0,0,1
16,0,713,713,693,1,33,0,0,0
237,0,163,163,708,0,28,2,0,1
85,0,111,111,345,0,31,2,0,1
64,0,887,887,282,1,21,2,0,0
41,0,725,725,528,1,52,2,0,0
85,0,206,206,635,0,36,2,0,1
43,0,551,551,121,1,88,2,0,0
91,0,555,555,317,1,69,2,0,0
139,1,342,342,314,1,57,2,1,0
193,0,158,158,838,1,42,2,0,1
85,0,262,262,344,1,48,2,0,0
134,3,465,465,409,0,88,2,1,0
138,1,154,154,594,1,50,2,0,0
124,0,627,627,567,0,38,2,4,0
165,1,256,256,736,0,63,2,3,0
149,0,388,388,177,0,65,0,0,0
140,0,585,585,136,0,24,2,2,1
158,1,30,30,610,0,52,2,5,0
33,0,138,138,756,1,36,2,0,0
190,0,104,104,356,0,28,2,1,1
94,1,161,161,73,1,34,0,0,0
17,0,217,217,568,1,88,0,0,0
143,0,698,698,187,1,59,2,0,1
33,0,393,393,391,1,27,2,0,1
210,0,72,72,218,0,42,0,0,1
235,0,91,91,269,0,47,2,0,1
14,0,500,500,243,1,28,2,0,0
237,1,16,16,305,1,4,2,2,1
20,0,168,168,514,1,31,2,0,0
81,0,223,223,79,0,39,2,0,1
43,0,868,868,304,1,88,2,0,0
228,1,222,222,544,1,65,0,0,0
64,0,323,323,441,1,25,2,0,0
101,1,560,560,65,1,88,0,1,1
66,1,418,418,402,0,27,2,0,0
0,0,340,340,263,1,53,2,0,0
247,0,137,137,679,1,48,0,1,1
223,0,156,156,257,0,39,2,0,1
43,0,706,706,482,1,65,2,0,0
114,1,686,686,831,1,3,2,1,1
72,0,336,336,570,1,78,2,0,1
109,1,488,488,617,0,34,2,0,0
31,1,652,652,267,1,33,2,0,1
129,0,218,218,651,0,23,2,1,1
85,0,288,288,213,1,39,2,0,0
189,1,152,152,809,0,44,2,0,1
72,0,386,386,84,0,22,2,0,1
40,0,544,544,650,1,88,2,0,0
176,0,703,703,583,1,48,0,0,0
146,1,854,854,450,1,48,2,2,0
165,1,255,255,86,1,21,2,3,0
179,5,300,300,71,0,21,2,2,0
124,3,625,625,374,0,7,2,1,0
231,1,582,582,215,0,41,0,0,1
96,0,889,889,153,1,54,2,2,0
126,0,441,441,184,0,8,2,2,1
205,6,722,722,324,1,88,2,2,0
34,0,594,594,51,1,27,2,0,0
28,0,507,507,727,0,88,1,0,1
235,0,690,690,373,1,28,0,0,0
109,1,810,810,431,0,88,2,0,1
165,2,254,254,147,0,13,2,2,0
85,0,538,538,463,1,63,2,0,0
55,0,619,619,797,0,41,2,0,1
153,0,489,489,782,1,38,2,0,0
31,0,233,233,764,1,21,2,0,0
94,1,876,876,830,0,20,0,0,1
67,0,787,787,474,0,28,2,0,0
43,0,221,221,283,1,24,2,0,1
225,1,540,540,412,0,44,1,0,1
227,1,349,349,820,0,67,2,1,1
43,0,527,527,564,0,88,2,0,0
